Date,Open,High,Low,Close,Volume,AdjustedClose
20211026,850.000,895.000,835.000,890.000,37559500,890.000
20211027,890.000,895.000,850.000,850.000,18804100,850.000
20211028,850.000,850.000,820.000,820.000,18427200,820.000
20211029,820.000,845.000,820.000,845.000,11084400,845.000
20211101,845.000,855.000,835.000,840.000,15454500,840.000
20211102,840.000,860.000,835.000,860.000,17036000,860.000
20211103,860.000,870.000,850.000,870.000,12571800,870.000
20211104,870.000,870.000,855.000,860.000,6523700,860.000
20211105,870.000,890.000,860.000,865.000,21469700,865.000
20211108,865.000,885.000,865.000,885.000,9356300,885.000
20211109,890.000,905.000,880.000,885.000,8930800,885.000
20211110,890.000,915.000,885.000,910.000,20890300,910.000
20211111,915.000,920.000,905.000,915.000,7077700,915.000
20211112,915.000,925.000,900.000,920.000,8699500,920.000
20211115,920.000,930.000,900.000,910.000,20210200,910.000
20211116,915.000,920.000,900.000,915.000,13406600,915.000
20211117,915.000,920.000,900.000,900.000,5667800,900.000
20211118,900.000,915.000,890.000,900.000,12182000,900.000
20211119,900.000,910.000,900.000,910.000,6284000,910.000
20211122,910.000,930.000,905.000,930.000,14410800,930.000
20211123,935.000,935.000,910.000,930.000,6616600,930.000
20211124,930.000,935.000,920.000,925.000,5304600,925.000
20211125,925.000,925.000,915.000,915.000,3400200,915.000
20211126,915.000,925.000,895.000,915.000,7929400,915.000
20211129,915.000,915.000,870.000,915.000,7968000,915.000
20211130,915.000,925.000,905.000,915.000,7876000,915.000
20211201,915.000,920.000,880.000,900.000,9330600,900.000
20211202,900.000,910.000,895.000,910.000,2668000,910.000
20211203,915.000,915.000,900.000,905.000,2082500,905.000
20211206,905.000,915.000,900.000,915.000,8336200,915.000
20211207,915.000,915.000,900.000,900.000,5450100,900.000
20211208,900.000,905.000,885.000,885.000,11928500,885.000
20211209,890.000,895.000,880.000,895.000,5013600,895.000
20211210,895.000,900.000,890.000,900.000,2463900,900.000
20211213,900.000,905.000,890.000,890.000,4583900,890.000
20211214,890.000,900.000,880.000,880.000,6314400,880.000
20211215,880.000,900.000,875.000,875.000,7085000,875.000
20211216,875.000,895.000,875.000,895.000,6482000,895.000
20211217,895.000,900.000,875.000,875.000,7325200,875.000
20211220,875.000,885.000,865.000,865.000,8629500,865.000
20211221,865.000,880.000,860.000,865.000,4906800,865.000
20211222,865.000,880.000,865.000,875.000,4295400,875.000
20211223,875.000,885.000,870.000,880.000,5398500,880.000
20211224,880.000,880.000,870.000,875.000,2707000,875.000
20211227,875.000,880.000,870.000,870.000,2164100,870.000
20211228,880.000,880.000,865.000,870.000,1725600,870.000
20211229,870.000,880.000,870.000,875.000,3802700,875.000
20211230,880.000,880.000,865.000,865.000,3728800,865.000
20220103,865.000,875.000,865.000,870.000,4962600,870.000
20220104,870.000,910.000,865.000,900.000,17952800,900.000
20220105,905.000,915.000,900.000,910.000,18710800,910.000
20220106,910.000,930.000,910.000,925.000,14432900,925.000
20220107,925.000,970.000,925.000,950.000,24948100,950.000
20220110,950.000,975.000,945.000,970.000,18666100,970.000
20220111,970.000,985.000,940.000,955.000,15825400,955.000
20220112,955.000,960.000,940.000,950.000,6639800,950.000
20220113,950.000,960.000,935.000,935.000,6147300,935.000
20220114,935.000,960.000,935.000,935.000,6774800,935.000
20220117,945.000,950.000,935.000,945.000,6734400,945.000
20220118,945.000,955.000,935.000,950.000,5039800,950.000
20220119,955.000,965.000,945.000,950.000,11288300,950.000
20220120,950.000,955.000,940.000,940.000,3997800,940.000
20220121,940.000,945.000,935.000,935.000,2741000,935.000
20220124,935.000,945.000,930.000,935.000,4422400,935.000
20220125,935.000,940.000,925.000,940.000,7277500,940.000
20220126,940.000,950.000,930.000,940.000,7461600,940.000
20220127,935.000,945.000,920.000,925.000,11777200,925.000
20220128,925.000,940.000,915.000,925.000,8035900,925.000
20220131,925.000,940.000,925.000,930.000,4793500,930.000
20220202,930.000,940.000,930.000,940.000,4491700,940.000
20220203,940.000,940.000,930.000,935.000,2636200,935.000
20220204,935.000,940.000,920.000,920.000,8393600,920.000
20220207,935.000,940.000,920.000,925.000,9919000,925.000
20220208,940.000,1000.000,915.000,925.000,72039000,925.000
20220209,930.000,940.000,925.000,935.000,16184500,935.000
20220210,935.000,950.000,925.000,935.000,25677400,935.000
20220211,935.000,945.000,930.000,945.000,7196000,945.000
20220214,945.000,960.000,930.000,955.000,36985700,955.000
20220215,955.000,960.000,940.000,945.000,11205900,945.000
20220216,945.000,955.000,945.000,945.000,10106600,945.000
20220217,945.000,960.000,945.000,955.000,8316700,955.000
20220218,955.000,980.000,955.000,955.000,15089400,955.000
20220221,955.000,970.000,950.000,955.000,22948100,955.000
20220222,955.000,965.000,950.000,955.000,11190700,955.000
20220223,955.000,975.000,945.000,950.000,33593400,950.000
20220224,950.000,970.000,945.000,955.000,23691200,955.000
20220225,955.000,975.000,945.000,975.000,31421700,975.000
20220301,975.000,980.000,965.000,970.000,22803600,970.000
20220302,970.000,980.000,965.000,965.000,9735000,965.000
20220304,965.000,980.000,950.000,970.000,21802000,970.000
20220307,970.000,985.000,955.000,965.000,36451900,965.000
20220308,965.000,980.000,950.000,950.000,36192500,950.000
20220309,950.000,960.000,935.000,935.000,15080600,935.000
20220310,940.000,970.000,940.000,970.000,19175400,970.000
20220311,975.000,1000.000,965.000,1000.000,28689800,1000.000
20220314,1000.000,1035.000,1000.000,1020.000,23086600,1020.000
20220315,1025.000,1035.000,1020.000,1030.000,18358700,1030.000
20220316,1030.000,1070.000,1030.000,1040.000,35047600,1040.000
20220317,1050.000,1070.000,1040.000,1050.000,27228900,1050.000
20220318,1050.000,1060.000,1030.000,1040.000,9623300,1040.000
20220321,1040.000,1050.000,1020.000,1020.000,12490800,1020.000
20220322,1020.000,1040.000,1020.000,1040.000,19630100,1040.000
20220323,1040.000,1050.000,1025.000,1045.000,9359900,1045.000
20220324,1040.000,1050.000,1030.000,1030.000,9226800,1030.000
20220325,1030.000,1040.000,1025.000,1035.000,6845500,1035.000
20220328,1035.000,1035.000,1010.000,1020.000,10534800,1020.000
20220329,1020.000,1020.000,995.000,1000.000,34987200,1000.000
20220330,1005.000,1015.000,985.000,995.000,27236900,995.000
20220331,995.000,1025.000,990.000,1020.000,24594600,1020.000
20220401,1020.000,1025.000,950.000,955.000,232885800,955.000
20220404,955.000,970.000,940.000,965.000,91084900,965.000
20220405,965.000,975.000,955.000,960.000,66023100,960.000
20220406,960.000,975.000,940.000,940.000,103000400,940.000
20220407,950.000,950.000,930.000,940.000,85969500,940.000
20220408,930.000,940.000,920.000,935.000,68742600,935.000
20220411,940.000,940.000,900.000,905.000,32633400,905.000
20220412,905.000,935.000,900.000,905.000,34408100,905.000
20220413,910.000,925.000,905.000,905.000,28363900,905.000
20220414,905.000,925.000,905.000,910.000,43815400,910.000
20220418,910.000,920.000,910.000,915.000,12882200,915.000
20220419,915.000,930.000,910.000,930.000,30734400,930.000
20220420,935.000,940.000,925.000,940.000,18234800,940.000
20220421,945.000,950.000,930.000,930.000,19565300,930.000
20220422,930.000,940.000,925.000,935.000,22036200,935.000
20220425,935.000,940.000,915.000,920.000,47618000,920.000
20220426,920.000,940.000,910.000,940.000,38301000,940.000
20220427,940.000,950.000,930.000,940.000,32384200,940.000
20220428,940.000,945.000,935.000,940.000,13466300,940.000
20220509,945.000,950.000,920.000,940.000,33367900,940.000
20220510,925.000,945.000,910.000,935.000,22324300,935.000
